物件名,住所,築年数,階数,家賃,管理費,間取り,広さ,敷金,礼金,物件画像URL,物件詳細URL,アクセス1路線,アクセス1駅名,アクセス1徒歩,アクセス2路線,アクセス2駅名,アクセス2徒歩,アクセス3路線,アクセス3駅名,アクセス3徒歩
アスプライム八丁堀,東京都中央区八丁堀３,4,8,23,15000,2LDK,45.08,23,23,https://img01.suumo.com/front/gazo/fr/bukken/012/100348998012/100348998012_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086873128/?bc=100356431264,東京メトロ日比谷線,八丁堀, 4, 都営浅草線,宝町, 4, 東京メトロ銀座線,京橋, 7
アスプライム八丁堀,東京都中央区八丁堀３,4,13,23.4,15000,1LDK,40.09,23.4,23.4,https://img01.suumo.com/front/gazo/fr/bukken/012/100348998012/100348998012_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000085794831/?bc=100348998012,東京メトロ日比谷線,八丁堀, 4, 都営浅草線,宝町, 4, 東京メトロ銀座線,京橋, 7
レジディア日本橋馬喰町,東京都中央区日本橋馬喰町１,17,4,17,15000,1LDK,47.12,17,17,https://img01.suumo.com/front/gazo/fr/bukken/785/100355087785/100355087785_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086634137/?bc=100355087833,ＪＲ総武線快速,馬喰町, 1, 都営新宿線,馬喰横山, 2, 都営浅草線,東日本橋, 5
レジディア日本橋馬喰町,東京都中央区日本橋馬喰町１,17,8,28,15000,1SLDK,64.5,28,28,https://img01.suumo.com/front/gazo/fr/bukken/785/100355087785/100355087785_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086650881/?bc=100355087785,ＪＲ総武線快速,馬喰町, 1, 都営新宿線,馬喰横山, 2, 都営浅草線,東日本橋, 5
レジディア日本橋馬喰町,東京都中央区日本橋馬喰町１,17,10,30,15000,3LDK,70.93,30,30,https://img01.suumo.com/front/gazo/fr/bukken/785/100355087785/100355087785_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086881213/?bc=100356477596,ＪＲ総武線快速,馬喰町, 1, 都営新宿線,馬喰横山, 2, 都営浅草線,東日本橋, 5
パークキューブ春日安藤坂,東京都文京区春日２,19,8,25.7,12000,2LDK,57.04,25.7,25.7,https://img01.suumo.com/front/gazo/fr/bukken/191/100355258191/100355258191_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086693492/?bc=100355258191,都営大江戸線,飯田橋, 8, 東京メトロ丸ノ内線,後楽園, 10, 都営大江戸線,春日, 10
パークキューブ春日安藤坂,東京都文京区春日２,19,14,29.5,15000,3LDK,68.94,29.5,29.5,https://img01.suumo.com/front/gazo/fr/bukken/191/100355258191/100355258191_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086867004/?bc=100356431497,都営大江戸線,飯田橋, 8, 東京メトロ丸ノ内線,後楽園, 10, 都営大江戸線,春日, 10
アーバネックス銀座東3,東京都中央区湊２,4,9,19.4,15000,1LDK,40.09,19.4,0,https://img01.suumo.com/front/gazo/fr/bukken/571/100346108571/100346108571_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000085347005/?bc=100346108571,東京メトロ有楽町線,新富町, 7, 東京メトロ日比谷線,八丁堀, 9, 都営大江戸線,月島, 10
アーバネックス銀座東3,東京都中央区湊２,4,7,19.4,15000,1LDK,40.09,19.4,0,https://img01.suumo.com/front/gazo/fr/bukken/571/100346108571/100346108571_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000060100465/?bc=100356431299,東京メトロ有楽町線,新富町, 7, 東京メトロ日比谷線,八丁堀, 9, 都営大江戸線,月島, 10
ザ・パークハビオ人形町レジデンス,東京都中央区日本橋久松町,0,4,18,15000,1LDK,31.61,18,0,https://img01.suumo.com/front/gazo/fr/bukken/571/100354959571/100354959571_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086650883/?bc=100354959571,東京メトロ日比谷線,人形町, 5, 都営新宿線,浜町, 6, 東京メトロ半蔵門線,水天宮前, 10
