物件名,住所,アクセス,築年数,階数,家賃,管理費,間取り,広さ
パークホームズ日本橋人形町ザレジデンス,東京都中央区日本橋人形町２,東京メトロ日比谷線/人形町駅 歩3分 都営新宿線/浜町駅 歩5分 東京メトロ半蔵門線/水天宮前駅 歩6分,築6年,13階,43.5万円,0円,3LDK,72.51m2
東京メトロ半蔵門線 押上駅 4階建 築2年,東京都墨田区向島３,東京メトロ半蔵門線/押上駅 歩7分 東武伊勢崎線/とうきょうスカイツリー駅 歩3分 都営浅草線/本所吾妻橋駅 歩10分,築2年,4階,11.5万円,4000円,1LDK,30.65m2
オーキッドレジデンス銀座東,東京都中央区湊３,東京メトロ有楽町線/新富町駅 歩6分 ＪＲ京葉線/八丁堀駅 歩8分 東京メトロ日比谷線/築地駅 歩9分,築9年,5階,19.2万円,15000円,1LDK,44.86m2
アーク銀座京橋,東京都中央区八丁堀３,東京メトロ銀座線/京橋駅 歩5分 都営浅草線/宝町駅 歩2分 ＪＲ京葉線/八丁堀駅 歩6分,築16年,5階,15万円,8000円,1LDK,44.27m2
OUTER SPACE,東京都墨田区立川２,都営大江戸線/森下駅 歩6分 都営新宿線/菊川駅 歩10分 都営大江戸線/両国駅 歩9分,築4年,1階,15.1万円,8000円,1LDK,54.08m2
ドムス両国,東京都墨田区両国３,ＪＲ総武線/両国駅 歩7分 都営新宿線/森下駅 歩10分 都営大江戸線/両国駅 歩8分,築10年,4階,14.2万円,13000円,1LDK,42.22m2
パークアクシス日本橋茅場町ステーションゲート,東京都中央区日本橋茅場町２,東京メトロ日比谷線/茅場町駅 歩5分 ＪＲ京葉線/八丁堀駅 歩7分 東京メトロ東西線/日本橋駅 歩7分,新築,11階,19.5万円,15000円,1LDK,32.9m2
プレシス東神田,東京都千代田区東神田１,ＪＲ総武線快速/馬喰町駅 歩5分 都営新宿線/岩本町駅 歩6分 ＪＲ山手線/秋葉原駅 歩10分,築12年,6階,16万円,0円,1LDK,40.3m2
ＣＡＳＳＩＡ押上,東京都墨田区押上１,東京メトロ半蔵門線/押上駅 歩5分 都営浅草線/押上駅 歩5分 東武伊勢崎線/とうきょうスカイツリー駅 歩9分,築16年,3階,15.6万円,5000円,1LDK,39.79m2
ブリリアイスト文京六義園,東京都文京区本駒込６,都営三田線/千石駅 歩4分 ＪＲ山手線/巣鴨駅 歩8分 東京メトロ南北線/駒込駅 歩10分,新築,4階,14.5万円,10000円,1LDK,26.9m2
パークタワー秋葉原,東京都千代田区神田練塀町,ＪＲ山手線/秋葉原駅 歩4分 東京メトロ銀座線/末広町駅 歩6分 都営新宿線/岩本町駅 歩7分,築18年,6階,17.5万円,13000円,1LDK,41.29m2
レジディア日本橋浜町,東京都中央区日本橋浜町１,都営新宿線/浜町駅 歩3分 都営浅草線/東日本橋駅 歩3分 ＪＲ総武線快速/馬喰町駅 歩7分,築18年,10階,16.5万円,15000円,1LDK,41.14m2
パークキューブ春日安藤坂,東京都文京区春日２,都営大江戸線/飯田橋駅 歩8分 東京メトロ丸ノ内線/後楽園駅 歩10分 都営大江戸線/春日駅 歩10分,築19年,8階,25.7万円,12000円,2LDK,57.04m2
朝日マンション五反田,東京都品川区西五反田２,ＪＲ山手線/五反田駅 歩5分 東急池上線/大崎広小路駅 歩5分 東急目黒線/不動前駅 歩12分,築11年,4階,15.3万円,10000円,1LDK,35.27m2
パークルール大手町,東京都千代田区神田錦町１,東京メトロ丸ノ内線/淡路町駅 歩4分 ＪＲ山手線/神田駅 歩9分 東京メトロ千代田線/新御茶ノ水駅 歩4分,築2年,2階,17.8万円,20000円,1LDK,27.21m2
ディームス品川戸越II,東京都品川区東中延１,東急池上線/荏原中延駅 歩6分 都営浅草線/戸越駅 歩5分 東急大井町線/戸越公園駅 歩8分,築7年,14階,18.7万円,12000円,1LDK,41.89m2
トルナーレ日本橋浜町,東京都中央区日本橋浜町３,東京メトロ半蔵門線/水天宮前駅 歩5分 東京メトロ日比谷線/人形町駅 歩7分 都営新宿線/浜町駅 歩7分,築19年,9階,23.5万円,0円,1LDK,57.83m2
